TIME 	 FLUX
1064.41727179639565293	2070800.00000000000000000
1064.41795287148124771	2070833.50000000000000000
1064.41863394655956654	2070828.62500000000000000
1064.41931502163060941	2071259.37500000000000000
1064.41999609671620419	2070927.62500000000000000
1064.42067717180179898	2070689.12500000000000000
1064.42135824688739376	2070985.25000000000000000
1064.42203942195192212	2071197.62500000000000000
1064.42272049703751691	2070408.87500000000000000
1064.42340157212311169	2070723.37500000000000000
1064.42408274719491601	2070849.75000000000000000
1064.42476382226595888	2071045.25000000000000000
1064.42544479735806817	2071289.87500000000000000
1064.42612597244442441	2070961.25000000000000000
1064.42680704753001919	2071341.37500000000000000
1064.42748812260106206	2071068.75000000000000000
1064.42816919767210493	2070936.75000000000000000
1064.42885037275846116	2071029.50000000000000000
1064.42953144785133190	2071034.75000000000000000
1064.43021252292237477	2071053.12500000000000000
1064.43089359799341764	2070873.25000000000000000
1064.43157467307901243	2071244.37500000000000000
1064.43225574817188317	2071339.37500000000000000
1064.43293692325823940	2070694.75000000000000000
1064.43361799832928227	2070659.12500000000000000
1064.43429907341487706	2070849.62500000000000000
1064.43498024848668138	2070926.12500000000000000
1064.43566132357227616	2070769.12500000000000000
1064.43634249865863239	2071370.25000000000000000
1064.43702347375074169	2070675.50000000000000000
1064.43770454882178456	2071117.75000000000000000
1064.43838562390737934	2070921.75000000000000000
1064.43906679897918366	2071081.12500000000000000
1064.43974787407205440	2070930.75000000000000000
1064.44042904915841063	2070957.00000000000000000
1064.44111012424400542	2070720.75000000000000000
1064.44179119931504829	2071129.87500000000000000
1064.44247217439988162	2070831.62500000000000000
1064.44315334947168594	2070596.25000000000000000
1064.44383442456455668	2071140.25000000000000000
1064.44451559965091292	2071864.62500000000000000
1064.44519667473650770	2071010.25000000000000000
1064.44587774982210249	2071159.87500000000000000
1064.44655882490769727	2071187.87500000000000000
1064.44724000000132946	2071064.87500000000000000
1064.44792097508616280	2070825.00000000000000000
1064.44860205017175758	2070671.12500000000000000
1064.44928322525811382	2070946.50000000000000000
1064.44996430032915669	2070742.62500000000000000
1064.45064537542202743	2070724.00000000000000000
1064.45132645050762221	2070507.12500000000000000
1064.45200762557942653	2070646.12500000000000000
1064.45268870066502132	2070998.50000000000000000
1064.45336967576440657	2070754.37500000000000000
1064.45405085083621088	2070919.37500000000000000
1064.45473192592908163	2070732.37500000000000000
1064.45541300101467641	2070848.62500000000000000
1064.45609417610103264	2070971.50000000000000000
1064.45677525118662743	2071299.75000000000000000
1064.45745632627222221	2071232.87500000000000000
