Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      8.40     0.00      104     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double const&>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&)
  0.00      8.40     0.00      100     0.00     0.00  void std::vector<double, std::allocator<double> >::_M_realloc_insert<double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double&&)
  0.00      8.40     0.00       56     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&)
  0.00      8.40     0.00       34     0.00     0.00  CCfits::Column::type() const
  0.00      8.40     0.00       34     0.00     0.00  float* std::__niter_base<float*>(float*)
  0.00      8.40     0.00       28     0.00     0.00  CCfits::FITSUtil::auto_array_ptr<float>::operator[](unsigned long)
  0.00      8.40     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::__normal_iterator(long* const&)
  0.00      8.40     0.00       28     0.00     0.00  CCfits::Column::index() const
  0.00      8.40     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const
  0.00      8.40     0.00       28     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator+(long) const
  0.00      8.40     0.00       28     0.00     0.00  std::vector<float, std::allocator<float> >::size() const
  0.00      8.40     0.00       28     0.00     0.00  float* std::__miter_base<float*>(float*)
  0.00      8.40     0.00       28     0.00     0.00  float* std::__niter_base<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  0.00      8.40     0.00       24     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      8.40     0.00       24     0.00     0.00  std::allocator<double>::~allocator()
  0.00      8.40     0.00       17     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      8.40     0.00       17     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      8.40     0.00       17     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      8.40     0.00       17     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      8.40     0.00       17     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      8.40     0.00       17     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      8.40     0.00       17     0.00     0.00  long* std::__niter_base<long*>(long*)
  0.00      8.40     0.00       17     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      8.40     0.00       17     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00      8.40     0.00       15     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      8.40     0.00       14     0.00     0.00  CCfits::FITSUtil::auto_array_ptr<double>::operator[](unsigned long)
  0.00      8.40     0.00       14     0.00     0.00  CCfits::FITSUtil::auto_array_ptr<float>::auto_array_ptr(float*)
  0.00      8.40     0.00       14     0.00     0.00  CCfits::FITSUtil::auto_array_ptr<float>::~auto_array_ptr()
  0.00      8.40     0.00       14     0.00     0.00  CCfits::FITSUtil::auto_array_ptr<long>::operator[](unsigned long)
  0.00      8.40     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      8.40     0.00       14     0.00     0.00  CCfits::FITSUtil::auto_array_ptr<float>::get() const
  0.00      8.40     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator+(long) const
  0.00      8.40     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator-(long) const
  0.00      8.40     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::base() const
  0.00      8.40     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >::operator+(long) const
  0.00      8.40     0.00       14     0.00     0.00  std::vector<long, std::allocator<long> >::size() const
  0.00      8.40     0.00       14     0.00     0.00  std::allocator<double>::allocator()
  0.00      8.40     0.00       14     0.00     0.00  float* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<float>(float const*, float const*, float*)
  0.00      8.40     0.00       14     0.00     0.00  std::vector<float, std::allocator<float> >::begin()
  0.00      8.40     0.00       14     0.00     0.00  double* std::__miter_base<double*>(double*)
  0.00      8.40     0.00       14     0.00     0.00  long* std::__miter_base<long*>(long*)
  0.00      8.40     0.00       14     0.00     0.00  double* std::__niter_base<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >)
  0.00      8.40     0.00       14     0.00     0.00  long* std::__niter_base<long*, std::vector<long, std::allocator<long> > >(__gnu_cxx::__normal_iterator<long*, std::vector<long, std::allocator<long> > >)
  0.00      8.40     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float*>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float*)
  0.00      8.40     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > std::__copy_move_a<false, float*, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(float*, float*, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  0.00      8.40     0.00       14     0.00     0.00  float* std::__copy_move_a1<false, float*, float*>(float*, float*, float*)
  0.00      8.40     0.00       14     0.00     0.00  float* std::__copy_move_a2<false, float*, float*>(float*, float*, float*)
  0.00      8.40     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > std::copy<float*, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(float*, float*, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >)
  0.00      8.40     0.00       12     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00      8.40     0.00       12     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00      8.40     0.00       12     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00      8.40     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      8.40     0.00       10     0.00     0.00  __gnu_cxx::new_allocator<float>::_M_max_size() const
  0.00      8.40     0.00       10     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      8.40     0.00       10     0.00     0.00  double* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<double>(double const*, double const*, double*)
  0.00      8.40     0.00        8     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      8.40     0.00        8     0.00     0.00  __gnu_cxx::new_allocator<float>::max_size() const
  0.00      8.40     0.00        8     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const
